om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
619624,2021,01,01,2021-01-01,13:01:00,3,GA,13,0,0,0,0,25000,0,32.6320,-84.2560,32.6570,-84.2160,2.9000,150,1,1,1,269,0,0,0,0
619625,2021,01,01,2021-01-01,13:18:00,3,GA,13,0,0,0,0,25000,0,32.7740,-84.0930,32.7820,-84.0820,0.8400,100,1,1,1,79,0,0,0,0
619626,2021,01,01,2021-01-01,13:35:00,3,GA,13,0,0,0,0,100000,0,32.8970,-83.9590,32.9040,-83.9400,1.2000,150,1,1,1,207,0,0,0,0
619627,2021,01,01,2021-01-01,13:51:00,3,GA,13,0,1,0,0,45000,0,33.0057,-83.7998,33.0312,-83.7509,3.3400,200,1,1,1,207,0,0,0,0
619628,2021,01,04,2021-01-04,15:34:00,3,CA,06,0,0,0,0,0,0,39.9600,-122.3300,39.9492,-122.3340,0.7800,3,1,1,1,103,0,0,0,0
619629,2021,01,04,2021-01-04,16:40:00,3,CA,06,0,0,0,0,0,0,39.9562,-122.0167,39.9749,-121.9729,2.6600,3,1,1,1,103,0,0,0,0
619630,2021,01,06,2021-01-06,18:14:00,3,TX,48,0,1,0,0,500000,0,29.3974,-94.9259,29.3933,-94.8928,2.0100,50,1,1,1,167,0,0,0,0
619631,2021,01,06,2021-01-06,22:52:00,3,LA,22,0,1,0,0,50000,0,30.2401,-91.8108,30.2549,-91.8015,1.1600,40,1,1,1,99,0,0,0,0
619632,2021,01,25,2021-01-25,16:29:00,3,TN,47,0,0,0,0,10000,0,35.1176,-89.6047,35.1252,-89.5844,1.2600,50,1,1,1,47,0,0,0,0
619633,2021,01,25,2021-01-25,22:40:00,3,AL,01,0,3,30,1,0,0,33.5965,-86.8256,33.6598,-86.6678,10.4000,900,1,1,1,73,0,0,0,0
619634,2021,01,27,2021-01-27,10:30:00,3,FL,12,0,1,0,0,5000,0,30.4182,-84.5522,30.4196,-84.5381,0.8500,50,1,1,1,73,0,0,0,0
619635,2021,01,27,2021-01-27,10:37:00,3,FL,12,0,1,0,0,200000,0,30.4074,-84.4323,30.3705,-84.0763,21.3700,200,1,1,1,73,0,0,0,0
619636,2021,01,30,2021-01-30,13:43:00,3,OK,40,0,-9,0,0,0,0,36.8670,-95.8030,36.8750,-95.7830,1.2000,100,1,1,1,105,0,0,0,0
619637,2021,01,30,2021-01-30,13:46:00,3,OK,40,0,-9,0,0,0,0,36.8768,-95.7740,36.8794,-95.7679,0.4000,75,1,1,1,105,0,0,0,0
619638,2021,01,30,2021-01-30,13:48:00,3,OK,40,0,-9,0,0,0,0,36.8848,-95.7617,36.8953,-95.7385,1.5000,150,1,1,1,105,0,0,0,0
619639,2021,01,30,2021-01-30,13:56:00,3,OK,40,0,-9,0,0,0,0,36.8940,-95.6926,36.9064,-95.6593,2.0000,100,1,1,1,105,0,0,0,0
619640,2021,02,06,2021-02-06,15:12:00,3,FL,12,0,0,0,0,0,0,27.7359,-80.5320,27.7379,-80.5318,0.1400,65,1,1,1,61,0,0,0,0
619641,2021,02,14,2021-02-14,00:07:00,3,FL,12,0,0,0,0,20000,0,27.8165,-82.8038,27.8320,-82.7920,1.2900,30,1,1,1,103,0,0,0,0
619642,2021,02,14,2021-02-14,13:30:00,3,FL,12,0,0,0,0,0,0,29.8599,-81.4972,29.8598,-81.4971,0.0100,10,1,1,1,109,0,0,0,0
619643,2021,02,15,2021-02-15,14:02:00,3,FL,12,0,0,0,0,5000,0,30.2211,-85.8898,30.2338,-85.8735,1.3100,50,1,1,1,5,0,0,0,0
619644,2021,02,15,2021-02-15,14:39:00,3,FL,12,0,0,0,0,25000,0,30.5994,-85.4557,30.6095,-85.4540,0.7100,100,1,1,1,133,0,0,0,0
619645,2021,02,15,2021-02-15,15:17:00,3,FL,12,0,0,0,0,0,0,30.2070,-82.7380,30.2080,-82.7340,0.2500,60,1,1,1,23,0,0,0,0
619646,2021,02,15,2021-02-15,15:29:00,3,GA,13,0,0,0,0,0,0,30.8900,-84.8200,30.8944,-84.8133,0.5000,50,1,1,1,253,0,0,0,0
619647,2021,02,15,2021-02-15,15:38:00,3,GA,13,0,2,5,0,500000,0,31.3000,-84.7000,31.2810,-84.7211,1.8100,600,1,1,1,99,0,0,0,0
619648,2021,02,15,2021-02-15,22:34:00,3,NC,37,0,3,10,3,0,0,33.9118,-78.5096,34.1774,-78.3008,21.9000,275,1,1,1,19,0,0,0,0
619649,2021,02,28,2021-02-28,18:15:00,3,LA,22,0,1,0,0,30000,0,32.8911,-94.0091,32.8980,-93.9853,1.4600,165,1,1,1,17,0,0,0,0
619650,2021,02,28,2021-02-28,20:18:00,3,KY,21,0,1,0,0,40000,0,36.7925,-85.0874,36.7940,-85.0200,3.6600,75,1,1,1,53,231,0,0,0
619651,2021,03,01,2021-03-01,05:04:00,3,GA,13,0,1,0,0,250000,0,33.5670,-84.4528,33.5601,-84.4429,0.7400,100,1,1,1,63,0,0,0,0
619652,2021,03,12,2021-03-12,17:05:00,3,TX,48,0,-9,0,0,0,0,33.7628,-102.0183,33.7780,-102.0038,1.3400,100,1,1,1,303,0,0,0,0
619653,2021,03,12,2021-03-12,20:16:00,3,TX,48,0,-9,0,0,0,0,33.8791,-100.3975,33.8797,-100.3935,0.2300,50,1,1,1,101,0,0,0,0
619654,2021,03,13,2021-03-13,14:55:00,3,TX,48,0,-9,0,0,0,0,34.5267,-102.1505,34.5284,-102.1345,0.9200,20,1,1,1,69,0,0,0,0
619655,2021,03,13,2021-03-13,15:15:00,3,TX,48,0,2,0,0,600000,0,34.7054,-101.9869,34.9500,-101.7648,21.2500,1000,1,1,1,437,381,0,0,0
619656,2021,03,13,2021-03-13,15:31:00,3,TX,48,0,1,0,0,0,0,34.8012,-101.9115,34.8243,-101.8769,2.5000,500,1,1,1,381,0,0,0,0
619657,2021,03,13,2021-03-13,15:37:00,3,TX,48,0,1,0,0,30000,0,34.8163,-101.8576,34.8579,-101.8213,3.5400,100,1,1,1,381,0,0,0,0
619658,2021,03,13,2021-03-13,15:48:00,3,TX,48,0,1,0,0,320000,0,34.9765,-101.7275,35.0366,-101.6040,8.1600,800,1,1,1,381,11,0,0,0
619659,2021,03,13,2021-03-13,15:54:00,3,TX,48,0,0,0,0,0,0,34.4136,-102.1134,34.4262,-102.1057,1.4200,30,1,1,1,69,0,0,0,0
619660,2021,03,13,2021-03-13,15:55:00,3,TX,48,0,-9,0,0,0,0,34.5248,-102.0696,34.5289,-102.0677,0.3000,30,1,1,1,69,0,0,0,0
619661,2021,03,13,2021-03-13,16:05:00,3,TX,48,0,0,0,0,0,0,34.7335,-101.7323,34.7623,-101.6852,3.2300,50,1,1,1,437,381,0,0,0
619662,2021,03,13,2021-03-13,16:06:00,3,TX,48,0,0,0,0,30000,0,35.0114,-101.6449,35.1717,-101.5274,12.9600,1000,1,1,1,381,11,0,0,0
619663,2021,03,13,2021-03-13,16:21:00,3,TX,48,0,-9,0,0,0,0,34.0825,-101.6966,34.0825,-101.6966,0.0400,20,1,1,1,189,0,0,0,0
619664,2021,03,13,2021-03-13,16:46:00,3,TX,48,0,-9,0,0,0,0,34.2333,-101.4877,34.2333,-101.4877,0.0500,20,1,1,1,189,0,0,0,0
619665,2021,03,13,2021-03-13,17:02:00,3,TX,48,0,-9,0,0,0,0,35.1251,-101.2360,35.1698,-101.2295,3.1100,800,1,1,1,11,0,0,0,0
619666,2021,03,13,2021-03-13,17:08:00,3,TX,48,0,-9,0,0,0,0,34.4504,-101.3292,34.4504,-101.3292,0.0600,20,1,1,1,45,0,0,0,0
619667,2021,03,13,2021-03-13,17:48:00,3,TX,48,0,2,0,0,250000,0,34.8861,-100.9292,35.0549,-100.8505,13.2200,1200,1,1,1,129,0,0,0,0
619668,2021,03,13,2021-03-13,17:51:00,3,TX,48,0,0,0,0,30000,0,34.9348,-100.9031,34.9475,-100.8973,0.9500,40,1,1,1,129,0,0,0,0
619669,2021,03,13,2021-03-13,19:41:00,3,TX,48,0,-9,0,0,0,0,34.2800,-99.9650,34.2800,-99.9650,0.2000,50,1,1,1,197,0,0,0,0
619670,2021,03,13,2021-03-13,20:00:00,3,TX,48,0,-9,0,0,0,0,34.3834,-99.8800,34.3834,-99.8800,0.2000,30,1,1,1,197,0,0,0,0
619671,2021,03,13,2021-03-13,20:15:00,3,OK,40,0,0,0,0,0,0,34.4900,-99.7704,34.4900,-99.7704,0.2000,30,1,1,1,65,0,0,0,0
619672,2021,03,13,2021-03-13,20:29:00,3,OK,40,0,-9,0,0,0,0,34.5830,-99.7000,34.5830,-99.7000,0.2000,20,1,1,1,57,0,0,0,0
619673,2021,03,13,2021-03-13,20:49:00,3,OK,40,0,1,0,0,15000,0,34.7670,-99.6680,34.7750,-99.6600,0.7000,50,1,1,1,55,0,0,0,0
619674,2021,03,13,2021-03-13,21:22:00,3,KS,20,0,2,0,0,10000,0,37.4986,-100.2752,37.6716,-100.3102,12.1500,100,1,1,1,69,0,0,0,0
619675,2021,03,14,2021-03-14,11:50:00,3,KS,20,0,-9,0,0,0,0,39.7600,-101.7100,39.7600,-101.7100,0.0500,25,1,1,1,23,0,0,0,0
619676,2021,03,14,2021-03-14,13:33:00,3,NE,31,0,-9,0,0,0,0,40.1675,-101.0498,40.1728,-101.0536,0.4200,50,1,1,1,87,0,0,0,0
619677,2021,03,15,2021-03-15,15:30:00,3,KS,20,0,0,0,0,100000,0,38.7737,-94.6992,38.7803,-94.6754,1.3600,50,1,1,1,91,0,0,0,0
619678,2021,03,15,2021-03-15,15:54:00,3,KS,20,0,-9,0,0,0,0,38.8016,-95.1797,38.8016,-95.1797,0.0100,10,1,1,1,45,0,0,0,0
619679,2021,03,15,2021-03-15,16:12:00,3,MO,29,0,0,0,0,0,0,38.7508,-94.3943,38.7508,-94.3943,0.0100,10,1,1,1,37,0,0,0,0
619680,2021,03,16,2021-03-16,18:03:00,3,MS,28,0,1,0,0,12000,0,31.7611,-90.3494,31.7647,-90.3261,1.3900,100,1,1,1,29,0,0,0,0
619681,2021,03,16,2021-03-16,18:58:00,3,MS,28,0,0,0,0,5000,0,31.7748,-89.9611,31.7755,-89.9523,0.5200,50,1,1,1,127,0,0,0,0
619682,2021,03,17,2021-03-17,11:03:00,3,MS,28,0,2,0,0,0,0,31.6491,-88.9066,31.7913,-88.7595,13.1000,325,1,1,1,153,0,0,0,0
619683,2021,03,17,2021-03-17,11:31:00,3,AL,01,0,0,0,0,0,0,32.4134,-88.2421,32.4172,-88.2383,0.3500,70,1,1,1,119,0,0,0,0
619684,2021,03,17,2021-03-17,11:32:00,3,AL,01,0,2,2,0,0,0,32.4240,-86.9542,32.4769,-86.8952,5.0800,1000,1,1,1,47,0,0,0,0
619685,2021,03,17,2021-03-17,11:57:00,3,AL,01,0,1,0,0,0,0,32.5390,-88.1341,32.6764,-88.1070,9.7800,475,1,1,1,119,0,0,0,0
619686,2021,03,17,2021-03-17,12:16:00,3,MS,28,0,1,0,0,20000,0,31.5903,-90.3218,31.6559,-90.2507,6.1600,120,1,1,1,85,0,0,0,0
619687,2021,03,17,2021-03-17,12:24:00,3,AL,01,0,1,0,0,0,0,32.6621,-86.6920,32.6855,-86.6518,2.8700,150,1,1,1,1,0,0,0,0
619688,2021,03,17,2021-03-17,12:56:00,3,AL,01,0,1,0,0,0,0,32.8165,-86.5539,32.8573,-86.5363,3.0400,500,1,1,1,21,0,0,0,0
619689,2021,03,17,2021-03-17,13:03:00,3,AL,01,0,0,0,0,0,0,32.5117,-87.8866,32.5176,-87.8744,0.8300,175,1,1,1,91,0,0,0,0
619690,2021,03,17,2021-03-17,13:12:00,3,AL,01,0,1,0,0,0,0,32.9081,-87.7584,33.1254,-87.4878,22.0300,550,1,1,1,65,125,0,0,0
619691,2021,03,17,2021-03-17,13:22:00,3,AL,01,0,1,0,0,0,0,32.0678,-87.9015,32.0899,-87.8623,2.7700,500,1,1,1,91,0,0,0,0
619692,2021,03,17,2021-03-17,13:26:00,3,LA,22,0,1,0,0,150000,0,32.7643,-92.4998,32.7883,-92.4645,2.6400,766,1,1,1,111,0,0,0,0
619693,2021,03,17,2021-03-17,13:29:00,3,AL,01,0,0,0,0,0,0,33.0063,-86.3522,33.0073,-86.3503,0.1300,25,1,1,1,37,0,0,0,0
619694,2021,03,17,2021-03-17,14:09:00,3,AL,01,0,1,0,0,0,0,33.1907,-87.3795,33.1959,-87.3728,0.5300,150,1,1,1,125,0,0,0,0
619695,2021,03,17,2021-03-17,14:25:00,3,AL,01,0,1,0,0,0,0,33.2887,-87.2997,33.3361,-87.2896,3.5100,650,1,1,1,125,0,0,0,0
619696,2021,03,17,2021-03-17,14:44:00,3,MS,28,0,2,2,0,0,0,31.6842,-88.4855,32.0107,-88.0000,36.5900,500,2,0,1,0,0,0,0,0
619696,2021,03,17,2021-03-17,14:44:00,3,MS,28,0,1,0,0,0,0,31.6842,-88.4855,31.6996,-88.4645,1.6300,400,2,1,2,153,0,0,0,0
619696,2021,03,17,2021-03-17,14:47:00,3,AL,01,0,2,2,0,0,0,31.6996,-88.4645,32.0107,-88.0000,34.9600,500,2,1,2,23,25,91,0,0
619697,2021,03,17,2021-03-17,14:54:00,3,AL,01,0,1,0,0,0,0,33.3360,-87.3097,33.3995,-87.2435,5.8100,650,1,1,1,125,73,0,0,0
619698,2021,03,17,2021-03-17,15:06:00,3,MS,28,0,0,0,0,0,0,31.2330,-91.3113,31.2441,-91.3056,0.8400,100,1,1,1,157,0,0,0,0
619699,2021,03,17,2021-03-17,15:11:00,3,AL,01,0,0,0,0,0,0,32.2850,-87.4280,32.2940,-87.4160,1.0700,75,1,1,1,47,0,0,0,0
619700,2021,03,17,2021-03-17,15:30:00,3,AL,01,0,1,0,0,0,0,33.5371,-87.0217,33.5684,-86.9937,2.7700,650,1,1,1,73,0,0,0,0
619701,2021,03,17,2021-03-17,15:37:00,3,AR,05,0,0,0,0,0,0,33.6201,-91.3797,33.6201,-91.3797,0.1000,10,1,1,1,41,0,0,0,0
619702,2021,03,17,2021-03-17,15:54:00,3,AL,01,0,0,0,0,0,0,32.0921,-87.8699,32.1171,-87.8646,1.7500,75,1,1,1,91,0,0,0,0
619703,2021,03,17,2021-03-17,15:56:00,3,AL,01,0,0,1,0,0,0,33.6619,-86.8534,33.6947,-86.8113,3.4600,660,1,1,1,73,0,0,0,0
619704,2021,03,17,2021-03-17,16:12:00,3,AL,01,0,2,0,0,0,0,32.6746,-86.7364,32.7544,-86.7028,5.8400,400,1,1,1,21,0,0,0,0
